Visible Actions,Stemmed Visible Actions
brush my teeth,brush my teeth
make a cup of tea,make a cup of tea
wake up a little bit,wake up a little bit
wake up,wake up
set my alarm,set my alarm
get up,get up
do a quick of my stove,do a quick of my stove
head outside with my dog,head outside with my dog
throw basically whatever into the blender,throw basically whatever into the blender
cleaning videos,cleaning videos
develop a recipe system,develop a recipe system
make life of kids easier in the kitchen tip number one,make life of kids easier in the kitchen tip number one
going through the motions of dinner planning,go through the motions of dinner planning
figuring out how to meal plan,figure out how to meal plan
collecting recipes for decades some,collect recipes for decades some
come up with a manageable system,come up with a manageable system
using,use
using a deep puffing stick from kate somerville,use a deep puf stick from kate somerville
washing my face over the sink,wash my face over the sink
brightens up my mascara time,brighten up my mascara time
take a few minutes,take a few minutes
using it,use it
put product right on it,put product right on it
stick them right on,stick them right on
go through the house,go through the house
start out in my kitchen,start out in my kitchen
get everything nice,get everything nice
get the dishes,get the dishes
steamed some potatoes,steam some potatoes
make like a cheesy queso enchilada sauce,make like a cheesy queso enchilada sauce
get the salad bar like the buffet bar,get the salad bar like the buffet bar
get there,get there
explain,explain
get some food,get some food
put like a ton of greens on the bottom,put like a ton of greens on the bottom
get some bulk bin stuff,get some bulk bin stuff
show what,show what
got a lot of my groceries,got a lot of my groceries
shake up your bag ,shake up your bag
add your butter,add your butter
sprinkle on your brown sugar,sprinkle on your brown sugar
zip locks,zip locks
reduce the amount of waste,reduce the amount of waste
take this one bag,take this one bag
made it,make it
add my greens right to this same bag,add my greens right to this same bag
go upstairs,go upstairs
do it in one load,do it in one load
working on the of a lot of stuff,work on the of a lot of stuff
putting things away,put things away
put those things away,put those things away
see it,see it
use that one lately,use that one lately
try some of these out,try some of these out
curb hunger,curb hunger
pour them in a pot with some water,pour them in a pot with some water
bring it down to a simmer,bring it down to a simmer
got it to a boil,got it to a boil
add some carrots,add some carrots
rinse them,rinse them
adding them to your hot oil,add them to your hot oil
making a hash,make a hash
add in my white onion bell pepper,add in my white onion bell pepper
makes my skin look really nice,make my skin look really nice
put coconut oil on my lips,put coconut oil on my lips
using bare minerals best skin concealer,use bare minerals best skin concealer
apply some concealer,apply some concealer
made a creamy cheesy yellow squash sauce,make a creamy cheesy yellow squash sauce
add in your fresh herbs,add in your fresh herbs
makes it,make it
toast your bread line it with the lettuce,toast your bread line it with the lettuce
adding fresh herbs,add fresh herbs
added all of the chickpeas to a bowl,add all of the chickpeas to a bowl
sip like recipes like this,sip like recipes like this
pack as much of this chickpea salad,pack as much of this chickpea salad
packed our very well,pack our very well
mashed potatoes,mash potatoes
get like tuna salad consistency,get like tuna salad consistency
smells like tangerine,smell like tangerine
get right into the recipe,get right into the recipe
throw everything into a food processor with your olive oil,throw everything into a food processor with your olive oil
pulse everything up,pulse everything up
using original kalamata olives,use original kalamata olives
plan out your morning either on paper,plan out your morning either on paper
use it as like a checklist,use it as like a checklist
listening to him,listen to him
slice up on top,slice up on top
using half a cup of strawberry slices,use half a cup of strawberry slices
makes it a bit thicker,make it a bit thicker
blending,blend
add some toppings,add some toppings
add that to a bowl,add that to a bowl
making a smoothie bowl or an acai bowl,make a smoothie bowl or an acai bowl
add about a tablespoon,add about a tablespoon
fill the rest up with water,fill the rest up with water
wipe down our stove,wipe down our stove
make the cal drake concentrate cleaner,make the cal drake concentrate cleaner
smell it,smell it
wipe it down,wipe it down
do more morning routines or videos of this sort,do more morning routines or videos of this sort
adding in some essential oil to my sink,add in some essential oil to my sink
using dish meyers,use dish meyers
give it a taste test,give it a taste test
go over each area two or three times,go over each area two or three times
do this in the morning before your workout,do this in the morning before your workout
brush upwards in long motions towards your heart,brush upwards in long motions towards your heart
use a brush with natural,use a brush with natural
cook it,cook it
adding in,add in
sprinkle of cheese on there,sprinkle of cheese on there
helps with my digestion,help with my digestion
start by,start by
use dried beans,use dry beans
add half an avocado for some good healthy fat,add half an avocado for some good healthy fat
soak overnight,soak overnight
store my avocado,store my avocado
sit on the couch,sit on the couch
chilling out on the couch,chill out on the couch
watch a little bit of,watch a little bit of
getting rid of for me outer order,get rid of for me outer order
open your hands,open your hands
add the scent,add the scent
decorate it for the fall,decorate it for the fall
add on a little bit more maple syrup,add on a little bit more maple syrup
making super quick chicken tacos,make super quick chicken tacos
cook dinner,cook dinner
getting my son ready for bed,get my son ready for bed
do the dishes,do the dishes
focus on my main goal for that day,focus on my main goal for that day
fill up a tall bottle or tall glass of water,fill up a tall bottle or tall glass of water
do anything else,do anything else
making an effort,make an effort
make my bed,make my bed
spending all day cleaning,spend all day cleaning
tackled three rooms of our house,tackl three rooms of our house
get it clean,get it clean
add in this like collagen stuff,add in this like collagen stuff
vacuumed up,vacuum up
mopping now,mop now
wore to my grade grad the floral pattern,wear to my grade grad the floral pattern
laughing at least,laugh at least
thank guys,thank guys
hang those,hang those
put the wall hooks into the wall,put the wall hooks into the wall
make some moss arrangements,make some moss arrangements
screw the loop screws into the top of the frame,screw the loop screws into the top of the frame
head out of my room,head out of my room
meditate for minutes,meditate for minutes
include in my morning routine,include in my morning routine
cook your butternut squash for about minutes,cook your butternut squash for about minutes
cover it with the dish towel,cover it with the dish towel
puree the sauce,puree the sauce
hang them all out on clothes horses,hang them all out on clothes horses
wiped down the little tray,wipe down the little tray
went through,go through
wipe down all of the surfaces,wipe down all of the surfaces
washing out in my living room,wash out in my living room
doing a clean with me,do a clean with me
see what else,see what else
washed it,wash it
find it,find it
get some greens out some um a head of romaine,get some greens out some um a head of romaine
commented,comment
talk to guys about how,talk to guys about how
start today with an essential oils,start today with an essential oils
gives that scent,give that scent
breaking with the oil in it,break with the oil in it
smell it in your hands,smell it in your hands
come from plants,come from plants
make life with kids easier in the kitchen,make life with kids easier in the kitchen
vacuum our couch,vacuum our couch
put some wedge by mac in the crease of my eyes,put some wedge by mac in the crease of my eyes
put on some concealer,put on some concealer
see it,see it
add some mascara,add some mascara
gives very fluffy,give very fluffy
looking lashes,look lashes
looks like,looks like
finish it off with a sheer lipstick,finish it off with a sheer lipstick
put on a bit of blush,put on a bit of blush
wear minimal makeup,wear minimal makeup
takes me less than minutes,take me less than minutes
trying the brightening formulation for the first time,try the brighten formulation for the first time
paint it,paint it
staining some wood,stain some wood
do art projects,do art projects
give three amber glass bottles,give three amber glass bottles
gave a little milliliter amber glass bottle,give a little milliliter amber glass bottle
continue this process all the way down the length of your stick our nails,continue this process all the way down the length of your stick our nails
take your tube,take your tube
blend of black eyed peas brown rice,blend of black eyed peas brown rice
give it a big thumbs,give it a big thumbs
top my banana pancakes with my homemade berry syrup,top my banana pancakes with my homemade berry syrup
topped with your homemade free berry jam,top with your homemade free berry jam
snap a pic of this list,snap a pic of this list
keep a pantry tally list on the inside door of my pantry tag,keep a pantry tally list on the inside door of my pantry tag
putting the membrane on the valve,put the membrane on the valve
putting them on to the valve,put them on to the valve
putting some things away on our counters,put some things away on our counters
tidied up before luke,tidy up before luke
put away our pineapple juice,put away our pineapple juice
started out in my kitchen,start out in my kitchen
cleaned around the house,clean around the house
get things nice,get things nice
keep my routine really simple,keep my routine really simple
using elbow,use elbow
using my elbow brackets on all of the corners,use my elbow brackets on all of the corners
screwing in screws,screw in screws
collected some sticks from outside,collect some sticks from outside
put mixed nuts,put mixed nuts
dried apricots,dry apricots
make it a little bit healthier,make it a little bit healthier
screw on the lid,screw on the lid
playing with our sand,play with our sand
sign up for my newsletter,sign up for my newsletter
see in my next video,see in my next video
click on it,click on it
using this new protein powder,use this new protein powder
grind me up,grind me up
take some of these on bob red mill,take some of these on bob red mill
put about a tablespoon,put about a tablespoon
absorb when,absorb when
pop them right into my mason jar,pop them right into my mason jar
sprinkle that over top of your frozen fruit,sprinkle that over top of your frozen fruit
pop that right into our little mason jar,pop that right into our little mason jar
take one full scoop,take one full scoop
adding half a cup of cooked quinoa,add half a cup of cook quinoa
add those to my plate,add those to my plate
sprinkle of sea salt,sprinkle of sea salt
add my salad to my plate,add my salad to my plate
show in this video in the description,show in this video in the description
do either upper body weights or lower body weights,do either upper body weights or lower body weights
making breakfast,make breakfast
pack a little bag of stuff like a drink bottle,pack a little bag of stuff like a drink bottle
give it a couple hours,give it a couple hours
finish off with a little bit of luck cardio warm down,finish off with a little bit of luck cardio warm down
start with some cardio,start with some cardio
see a fitness routine,see a fitness routine
throw on my little nike runners,throw on my little nike runners
seen this before,see this before
go to my gym,go to my gym
consists of one of my cotton on body sports bras,consists of one of my cotton on body sports bras
jump straight into,jump straight into
working on,work on
filled with succulents,fill with succulents
use the spices,use the spices
chop them up with a sharp knife into inch cubes,chop them up with a sharp knife into inch cubes
do this,do this
got your two large sweet potatoes,got your two large sweet potatoes
add a little bit of water,add a little bit of water
help the sweet potatoes,help the sweet potatoes
cook vegetables,cook vegetables
get a glass bowl,get a glass bowl
adding some kosher salt,add some kosher salt
make this vegan chickpea tuna salad,make this vegan chickpea tuna salad
do it super carefully,do it super carefully
run it along,run it along
retiled,retil
consider for tile floors,consider for tile floors
take off any excess,take off any excess
stained,stain
make it,make it
use a little wooden stick,use a little wooden stick
adding all of my sauce right in there,add all of my sauce right in there
stir alright,stir alright
makes it really vibrant lee green,make it really vibrant lee green
blend until,blend until
got these button mushrooms,got these button mushrooms
show,show
moving on to my bathrooms,move on to my bathrooms
makes your bathroom smell,make your bathroom smell
using the method antibacterial bathroom cleaner,use the method antibacterial bathroom cleaner
fill up my diffuser,fill up my diffuser
use this on all of my bathroom,use this on all of my bathroom
mop the floors,mop the floors
hold the iron on each patch for a few seconds without any patch for a few seconds without any steam,hold the iron on each patch for a few seconds without any patch for a few seconds without any steam
personalise your backpack,personalise your backpack
iron it on my mom,iron it on my mom
making them,make them
helped me with this part for safety,help me with this part for safety
getting home,get home
open up my fridge,open up my fridge
use a wood board,use a wood board
started to experiment with woodworking,start to experiment with woodworking
painting a board this particular paint,paint a board this particular paint
got some vegan mozzarella,got some vegan mozzarella
comes in a big block,come in a big block
used to a super dark chocolate,use to a super dark chocolate
put a lid on top pop it in the refrigerator overnight,put a lid on top pop it in the refrigerator overnight
add in your banana deliciousness mixture,add in your banana deliciousness mixture
add some sliced bananas one cap full of vanilla extract a dash of cinnamon,add some slice bananas one cap full of vanilla extract a dash of cinnamon
stir it all together,stir it all together
seeing guys the next video,see guys the next video
quinoa instead of oatmeal,quinoa instead of oatmeal
rinsing one cup of quinoa,rinse one cup of quinoa
add that to your pan with cups of milk,add that to your pan with cups of milk
turned on,turn on
get some water on my face,get some water on my face
take a shower,take a shower
look after yourself,look after yourself
using the samsara app,use the samsara app
doing something,do something
burning yourself out,burn yourself out
help yourself,help yourself
meditating,meditate
see if,see if
taking time for yourself,take time for yourself
get ready in the morning,get ready in the morning
doing this other ideas,do this other ideas
spend three to five minutes,spend three to five minutes
looking after other people,look after other people
using strawberries,use strawberries
put in our strawberries,put in our strawberries
put them in the basket in the laundry,put them in the basket in the laundry
pick up all of the dirty clothes,pick up all of the dirty clothes
took out the rubbish,take out the rubbish
did a proper kitchen clean,do a proper kitchen clean
give everything a vacuum,give everything a vacuum
did all those kinds of things,do all those kinds of things
simplifying the lunch packing process,simplify the lunch packing process
found really helpful,found really helpful
get a bit overwhelming,get a bit overwhelming
doing that every single day,do that every single day
put things like pretzels,put things like pretzels
make life with kids easier in the kitchen,make life with kids easier in the kitchen
sized stainless steel containers,size stainless steel containers
going to real school,go to real school
pack lunch,pack lunch
moving on to drinks,move on to drinks
using kalamata olives,use kalamata olives
bake my potatoes in the microwave,bake my potatoes in the microwave
use microwaves,use microwaves
baking potatoes,bake potatoes
do that,do that
eat them with the skin on that,eat them with the skin on that
stick them with a fork all the way around,stick them with a fork all the way around
topping my coffee banana overnight earth with a few extra fresh banana slices,top my coffee banana overnight earth with a few extra fresh banana slices
make it,make it
wipe down of the countertops,wipe down of the countertops
talk about this a lot more detail,talk about this a lot more detail
hop in the shower,hop in the shower
jump into my skincare routine,jump into my skincare routine
eat my dinner,eat my dinner
head upstairs,head upstairs
use it on your dog,use it on your dog
tracing the bottom part of the bowl,trace the bottom part of the bowl
gets a little spa treatment,get a little spa treatment
include it,include it
add some pomegranate seeds,add some pomegranate seeds
dressing on top,dress on top
chopped green bell pepper red onion cucumbers,chop green bell pepper red onion cucumbers
add some eggs for added protein to this dish,add some eggs for add protein to this dish
drizzle some italian,drizzle some italian
adding half a cup of sliced strawberries,add half a cup of sliced strawberries
use plain full cream regular yogurt,use plain full cream regular yogurt
throwing in a pinch of ground vanilla powder,throw in a pinch of ground vanilla powder
use sweetener,use sweetener
measured out,measure out
stir it all together,stir it all together
brings out the chocolate flavor,bring out the chocolate flavor
use one tablespoon of unsweetened cashew nut butter,use one tablespoon of unsweetened cashew nut butter
adds good protein,add good protein
use almond butter or natural peanut butter,use almond butter or natural peanut butter
add a tiny little pinch of sea salt,add a tiny little pinch of sea salt
using my miter,use my miter
creating my measurements,create my measurements
move the wood a tiny bit over,move the wood a tiny bit over
working with the miter,work with the miter
come down a little bit,come down a little bit
met the mark,meet the mark
get your wood cut,get your wood cut
use my miter,use my miter
wipe thoroughly,wipe thoroughly
use a plastic scraper,use a plastic scraper
invest about ten dollars in an oven liner,invest about ten dollars in an oven liner
add in cilantro green onion red onion red pepper,add in cilantro green onion red onion red pepper
drizzle it all over,drizzle it all over
give it a good shake,give it a good shake
toss everything together,toss everything together
topped it with some pomegranate seeds,top it with some pomegranate seeds
using my creamy lemon ginger salad,use my creamy lemon ginger salad
chop it up,chop it up
laid out as well,lay out as well
rummage through my actual makeup drawers,rummage through my actual makeup drawers
use them for several uses,use them for several uses
make a mistake with my mascara,make a mistake with my mascara
do anything special with my hair,do anything special with my hair
melt off my face,melt off my face
move on to my hair,move on to my hair
brush it,brush it
drink my tea in bed,drink my tea in bed
use two teabags,use two teabags
add that to the mix,add that to the mix
put about ounces of milk in my milk frother,put about ounces of milk in my milk frother
work on my list,work on my list
accomplish that day,accomplish that day
take out my planner,take out my planner
did an entire video about my planning process,do an entire video about my planning process
write down all the reasons why,write down all the reasons why
write in my gratitude journal,write in my gratitude journal
puts in a good mood,put in a good mood
use vinegar,use vinegar
work from the top of the room downward,work from the top of the room downward
making a protein shake,make a protein shake
take the opportunity,take the opportunity
blend protein vanilla with all essential amino acids,blend protein vanilla with all essential amino acids
make it smell nice,make it smell nice
using my favorite cleaner,use my favorite cleaner
wipe down my counters,wipe down my counters
wiping down my barstools,wipe down my barstools
using the car shammies,use the car shammies
gather up eight strips,gather up eight strips
cut through,cut through
removed a few of the spikes,remove a few of the spikes
drilled two large holes,drill two large holes
put the toothbrushes in it,put the toothbrushes in it
do a monster rock,do a monster rock
fit the toothbrushes,fit the toothbrushes
grab a nice size rock from outside,grab a nice size rock from outside
drilled all the way through,drill all the way through
wrap that all up,wrap that all up
adding some crunch,add some crunch
gives sustained energy throughout the day,give sustained energy throughout the day
has grams of sugar,have grams of sugar
follow that with my fruit,follow that with my fruit
rinse off my face with their cotton gentle sensitive skin,rinse off my face with their cotton gentle sensitive skin
moisturize,moisturize
using the gentle cleansing gel,use the gentle clean gel
using the hydrating daily facial moisturizer,use the hydrating daily facial moisturizer
use it,use it
use organic,use organic
cleansing gel,clean gel
filling my face full of chemicals,fill my face full of chemicals
use the mineral spring water mist,use the mineral spring water mist
make a quick sauce,make a quick sauce
chopped garlic,chop garlic
flakes teaspoon of pepper,flake teaspoon of pepper
add cup of ketchup cup of honey cup of soy sauce or bragg aminos,add cup of ketchup cup of honey cup of soy sauce or bragg aminos
trimmed green beans,trim green beans
use chicken breast,use chicken breast
put about half of the mixed berries in here,put about half of the mixed berries in here
put that right in there,put that right in there
use mango or the banana,use mango or the banana
fill the rest up with the frozen mango,fill the rest up with the frozen mango
put in our frozen banana,put in our frozen banana
take one full banana,take one full banana
use half or full banana,use half or full banana
do a video on my smoothie preps for the week,do a video on my smoothie preps for the week
take our fruit,take our fruit
use the fresh banana,use the fresh banana
use about a cup,use about a cup
got some more beyond meat burgers,got some more beyond meat burgers
got some vino,got some vino
topping my salad with of an avocado,top my salad with of an avocado
adding some fresh cucumber slices,add some fresh cucumber slices
add healthy fats,add healthy fats
adds really good lean protein to my lunch,add really good lean protein to my lunch
got some romaine lettuce,got some romaine lettuce
adding it to my salad,add it to my salad
adds healthy fats to my meal,add healthy fats to my meal
chopped up in my bowl,chop up in my bowl
do anything with my makeup,do anything with my makeup
do all my other cleaning,do all my other cleaning
filled it up with water,fill it up with water
mop if,mop if
mop the bathroom,mop the bathroom
vacuumed the boys room,vacuum the boys room
adding essential oils onto the top of it,add essential oils onto the top of it
start in the playroom,start in the playroom
weight them down,weight them down
paint the seats of them gray,paint the seats of them gray
using the glass,use the glass
wipe them down with a wet rag with water,wipe them down with a wet rag with water
take a scrub brush,take a scrub brush
use paper towel all the way around,use paper towel all the way around
wearing gloves,wear gloves
add a bit of avocado to my green smoothies,add a bit of avocado to my green smoothies
adding of an avocado,add of an avocado
grab all of those things,grab all of those things
get all the chunks of almond out,get all the chunks of almond out
drain your almonds,drain your almonds
gotten most of the liquid out,got most of the liquid out
drained all,drain all
squeeze it alright,squeeze it alright
blend for about one minute,blend for about one minute
use a fine mesh strainer,use a fine mesh strainer
using filtered water,use filter water
take your milk,take your milk
add a little bit of flavor,add a little bit of flavor
strain it,strain it
using a nut bag,use a nut bag
add my water today,add my water today
polishes your stainless steel amazingly,polish your stainless steel amazingly
go into my living room,go into my living room
making this,make this
get super creative with the shape of your pan it a layer of ice cream,get super creative with the shape of your pan it a layer of ice cream
making cream now,make cream now
get really creative spread your cool hwhip on with a knife,get really creative spread your cool hwhip on with a knife
follow the same steps a layer of ice cream sandwiches,follow the same steps a layer of ice cream sandwiches
refreshed,refresh
toss that around in a frying pan on the stove for a few minutes,toss that around in a frying pan on the stove for a few minutes
take a few minutes,take a few minutes
adding tsp of macadamia nut oil to a pan,add tsp of macadamia nut oil to a pan
sliced up a few vegetables,slice up a few vegetables
make something really simple,make something really simple
make a quick,make a quick
make a healthy dinner for myself,make a healthy dinner for myself
sliced some long stem broccoli lengthways,slice some long stem broccoli lengthways
adding this,add this
top it off with my homemade almond milk cream,top it off with my homemade almond milk cream
did here,do here
hydrating your skin,hydrate your skin
chopped celery,chop celery
make your own,make your own
buy your favorite hummus from the store,buy your favorite hummus from the store
used august containers,use august containers
take advantage of them,take advantage of them
collapse them,collapse them
finish your lunch,finish your lunch
add some hummus,add some hummus
created these containers,create these containers
making a comeback,make a comeback
adding them into recipes like this one,add them into recipes like this one
has tons of healthy minerals,have tons of healthy minerals
find a stud,find a stud
marked it,mark it
make sure,make sure
used anchors,use anchors
use an anchor,use an anchor
made sure,make sure
do it on the other side,do it on the other side
hanging two shelves,hang two shelves
shelving on top,shelve on top
measure it appropriately,measure it appropriately
got a little bit of water nutritional yeast tahini,got a little bit of water nutritional yeast tahini
cook it,cook it
took the butternut squash,take the butternut squash
writing it,write it
crush them up in my hands,crush them up in my hands
sprinkle a little bit more of cinnamon,sprinkle a little bit more of cinnamon
chop them up,chop them up
take some extra maple syrup,take some extra maple syrup
try this recipe,try this recipe
use a pencil brush,use a pencil brush
use this mascara from sigma as an eyebrow gel,use this mascara from sigma as an eyebrow gel
clean up all the edges,clean up all the edges
highlight the inside of my eyes,highlight the inside of my eyes
put that on,put that on
use this highlight duo from sigma,use this highlight duo from sigma
take this random mascara brush that,take this random mascara brush that
swim these,swim these
use rocks,use rocks
give this little guy an eye,give this little guy an eye
made out of a pool noodle instant tape,make out of a pool noodle instant tape
made with seashell,make with seashell
retrieve them from the bottom,retrieve them from the bottom
making those three breakfasts with me,make those three breakfasts with me
put a link to that below this video,put a link to that below this video
showed today over on my blog,show today over on my blog
get yourself ready for the super busy day ahead,get yourself ready for the super busy day ahead
break that up,break that up
going to kind of swirl that around,go to kind of swirl that around
break the eggs,break the eggs
break up the eggs super quick,break up the eggs super quick
blend that all out,blend that all out
starting with the color camel all over my lid from the lorac mega pro palette,start with the color camel all over my lid from the lorac mega pro palette
go into the outer crease in the outer corner with sepia,go into the outer crease in the outer corner with sepia
fill my brows,fill my brows
take some eyeliner,take some eyeliner
do a little bit of a wing,do a little bit of a wing
use cream as a highlight,use cream as a highlight
soften up all the edges,soften up all the edges
wear sunscreen,wear sunscreen
protect their little skin,protect their little skin
did this to my back,do this to my back
make it easier,make it easier
break down the fibers in the kale,break down the fibers in the kale
throw on a little bit of uh sea salt,throw on a little bit of uh sea salt
massaging it,massage it
filtered water,filter water
soften it,soften it
dressing,dress
massaging your kale,massage your kale
throwing some olive oil lemon juice on there,throw some olive oil lemon juice on there
getting my hands in there,get my hands in there
use my walnut sponges,use my walnut sponges
used tea tree oil,use tea tree oil
give it a good mix,give it a good mix
used one full banana,use one full banana
use the unsweetened vanilla almond milk,use the unsweetened vanilla almond milk
doing about a heaping tablespoon,do about a heaping tablespoon
take also about a tablespoon,take also about a tablespoon
fill it about halfway,fill it about halfway
pop in the frozen banana,pop in the frozen banana
made with real wholesome foods,make with real wholesome foods
blend it all up until creamy smooth,blend it all up until creamy smooth
add that in,add that in
making your own salad dressings,make your own salad dressings
make my three creamy and delicious detox salad dressings,make my three creamy and delicious detox salad dressings
use as a body wash,use as a body wash
getting ready for the day,get ready for the day
head back downstairs,head back downstair
wash my hair,wash my hair
washed everything up,washed everything up
put the dishwasher on,put the dishwasher on
clean my kitchen,clean my kitchen
wipe down,wipe down
fit in the dishwasher,fit in the dishwasher
washed those up,wash those up
take showers at night,take showers at night
using some mac pro longer waterproof,use some mac pro longer waterproof
set my eyebrows,set my eyebrows
get out of bed,get out of bed
mix my coffee with a little bit of soy milk,mix my coffee with a little bit of soy milk
cover other school supplies like binder clips or even pencils,cover other school supplies like binder clips or even pencils
making projects,make projects
transform your desk accessories,transform your desk accessories
make that math homework a little less painful,make that math homework a little less painful
use a small pair of scissors,use a small pair of scissors
showing these projects,show these projects
peel off the back,peel off the back
cut our paper to size,cut our paper to size
wrap it around,wrap it around
trim it,trim it
mix that all together,mix that all together
sprinkled some more cheese,sprinkle some more cheese
give it a good crust on top,give it a good crust on top
tastes pretty good,tastes pretty good
got a little hungry,got a little hungry
eat cubes of baked tofu,eat cubes of baked tofu
put it in for minutes,put it in for minutes
make it a little fuzzier,make it a little fuzzier
adding a little bit more tomato sauce,add a little bit more tomato sauce
sprinkled some more cheese,sprinkle some more cheese
added some arugula for some more green color,add some arugula for some more green color
added more tomato basil sauce,add more tomato basil sauce
vacuum my rug,vacuum my rug
plug in,plug in
vacuum the couch yes the couch or the floor,vacuum the couch yes the couch or the floor
give it a good shake drizzle it all over your salad,give it a good shake drizzle it all over your salad
got these,got these
slide out,slide out
push your bed back into place recently,push your bed back into place recently
switch around,switch around
stick them on the pedestals of your bed,stick them on the pedestals of your bed
giving guys the very requested summer morning routine,give guys the very request summer morning routine
give a thumbs up,give a thumbs up
adding in all the other ingredients,add in all the other ingredients
use ground cinnamon,use ground cinnamon
using the stick,use the stick
adding in the coconut milk maple syrup coconut oil almond butter,add in the coconut milk maple syrup coconut oil almond butter
use any sweetener almond butter cinnamon nutmeg,use any sweetener almond butter cinnamon nutmeg
chopped up apples,chop up apples
add it first,add it first
go ahead in your crock pot or slow cooker,go ahead in your crock pot or slow cooker
throw in that cinnamon stick,throw in that cinnamon stick
lying in bed,lie in bed
put my little christmas slippers on,put my little christmas slippers on
get into my robe,get into my robe
get out of bed,get out of bed
smashing up the avocado a bit,smash up the avocado a bit
topping it with some sea salt some black pepper,top it with some sea salt some black pepper
using some whole rye bread,use some whole rye bread
writing down the most important things,write down the most important things
look over my list for that day in my productivity planner,look over my list for that day in my productivity planner
do some skincare,do some skincare
dance,dance
doing this mud mask,do this mud mask
do a face mask,do a face mask
putting that on with a brush,put that on with a brush
head out the door,head out the door
go over the front,go over the front
make it smoother,make it smoother
use a clear mascara gel,use a clear mascara gel
does work,doe work
straighten it,straighten it
deal with my flyaways,deal with my flyaways
drink this plain,drink this plain
do regular morning routine things,do regular morning routine things
sitting on a chair,sit on a chair
laid out,lay out
clean off the mat,clean off the mat
follow up with a magic eraser from the dollar,follow up with a magic eraser from the dollar
run through the baseboards really quick with a dryer sheet,run through the baseboards really quick with a dryer sheet
shake for good measure drizzle it all over your salad,shake for good measure drizzle it all over your salad
pour it into a glass mason jar,pour it into a glass mason jar
curl my lashes,curl my lashes
take that with a nice big glass of water,take that with a nice big glass of water
take my prenatal one my vitamin d,take my prenatal one my vitamin d
putting it on a plate with some peanut butter,put it on a plate with some peanut butter
make some tea,make some tea
cutting up an apple,cut up an apple
take every single night before,take every single night before
make a snack for myself,make a snack for myself
rub it sometimes,rub it sometimes
exfoliate at the same time,exfoliate at the same time
exfoliate your skin,exfoliate your skin
using a skin brush,use a skin brush
do this scrub,do this scrub
apply your cleanser to the brush with some water,apply your cleanser to the brush with some water
suit your needs,suit your needs
get some ideas,get some ideas
moisturize his skin,moisturize his skin
try them out,try them out
adjust the sense based on your liking,adjust the sense base on your liking
measured our two tablespoons of sunflower seeds,measure our two tablespoons of sunflower seeds
add good protein fiber,add good protein fiber
got half a cup of fresh cherries half a cup of blueberries,got half a cup of fresh cherries half a cup of blueberries
sprinkle on top of salad,sprinkle on top of salad
sprinkle of black pepper,sprinkle of black pepper
use my phone once,use my phone once
look at your phone,look at your phone
dims the blue light,dim the blue light
removing makeup,remove makeup
do my skincare routine,do my skincare routine
brush my teeth of course,brush my teeth of course
use an oil,use an oil
make my house look really clean,make my house look really clean
try to spray,try to spray
sweeping the house obviously with hardwood floors,sweep the house obviously with hardwood floors
use some sunscreen,use some sunscreen
applied moisturizer,applied moisturizer
apply your sunscreen,apply your sunscreen
playing with it,play with it
stick this right in my recipe binder,stick this right in my recipe binder
find it handy,find it handy
do it on a dime,do it on a dime
linked down below,link down below
goes gaga for this,go gaga for this
share with my favorite freezer cooking recipes,share with my favorite freezer cooking recipes
prepared meals for my family in two hours,prepared meals for my family in two hours
keep it all organized,keep it all organize
making beef barley soup an amazing chicken,make beef barley soup an amazing chicken
make these recipes in bulk,make these recipes in bulk
chosen red blue,choose red blue
paint a really light layer of paint,paint a really light layer of paint
painted them myself,paint them myself
picked these up at my local hobby lobby,pick these up at my local hobby lobby
add a little bit of milk,add a little bit of milk
followed by my cream cheese,follow by my cream cheese
use a whisk,use a whisk
make our sauce,make our sauce
add some salt to the sauce,add some salt to the sauce
make it smoother,make it smoother
smell great,smell great
melted,melt
put on the left side,put on the left side
getting water all over my back,get water all over my back
pack things like sunglasses,pack things like sunglasses
mix it all up,mix it all up
pour it in on it,pour it in on it
pour a solution into a container,pour a solution into a container
see it,see it
add too much,add too much
mix it all up,mix it all up
sticking to itself,stick to itself
add to tablespoons,add to tablespoons
add another score or two,add another score or two
start to clump together,start to clump together
mix in our activator,mix in our activator
done when it,do when it
yields great results,yields great results
using some,use some
put it on your skin,put it on your skin
give it a nice angled cut,give it a nice angled cut
put that right over top,put that right over top
spread that on there,spread that on there
take a bit of that,take a bit of that
take a nice big scoop of that,take a nice big scoop of that
spread that right over top,spread that right over top
put that right on,put that right on
put it on to one side of the toast,put it on to one side of the toast
take my wild bear jam,take my wild bear jam
start off with this maranatha almond butter,start off with this maranatha almond butter
add some essential oils into my sink,add some essential oils into my sink
seeing a nice clean sink,see a nice clean sink
using the it cosmetics concealer,use the it cosmetics concealer
using a few matte colors for around my eyes that light brown color,use a few matte colors for around my eyes that light brown color
use my macadamia nut oil on my damp hair,use my macadamia nut oil on my damp hair
use the beauty water,use the beauty water
add it to some hot water,add it to some hot water
put my hair in two braids,put my hair in two braids
use zucchini,use zucchini
use a julienne slicer,use a julienne slicer
tastes really good,tastes really good
boiling water for about minutes,boil water for about minutes
eat in a day,eat in a day
mix,mix
put away the dishes,put away the dishes
get my dragon towel,get my dragon towel
bye person,bye person
see guys,see guys
doing it all on a budget,do it all on a budget
getting organized,get organize
